dt,open,high,low,close,vwap,atr,rsi2,adx15
2023-01-03 04:05:00,25909.369,25967.419,25909.369,25952.369,25792.7664,25.332186829842225,87.6740835218596,36.492019974150715
2023-01-03 04:10:00,25957.419,25957.419,25907.369,25927.369,25795.47135294118,27.09774491342513,45.644711475902064,36.492019974150715
2023-01-03 04:15:00,25924.999,25932.999,25922.269,25924.319,25797.991692307696,25.92862027675188,40.86478997813448,37.835005520805375
2023-01-03 04:20:00,25927.269,25942.469,25914.369,25929.269,25800.457930817614,26.083718828412614,55.86632617239303,37.835005520805375
2023-01-03 04:25:00,25932.469,25942.319,25927.269,25937.519,25802.96245679013,25.295596054954522,76.08717094015458,37.835005520805375
2023-01-03 04:30:00,25939.319,25939.319,25922.269,25927.519,25805.266818181826,24.706624908172007,36.04794062441041,39.08206352841327
2023-01-03 04:35:00,25929.369,25932.999,25917.269,25929.519,25807.433404761916,24.06543741473112,47.168512338485826,39.08206352841327
2023-01-03 04:40:00,25927.519,25937.519,25927.269,25937.519,25809.655666666677,23.078620456536044,77.90506913736935,39.08206352841327
2023-01-03 04:45:00,25939.319,25972.519,25939.319,25967.369,25812.243252873574,23.930147566783468,95.86358794795372,40.64272325792057
2023-01-03 04:50:00,25969.419,25972.469,25957.319,25967.369,25814.844536723176,23.302994169156182,95.86358794795372,40.64272325792057
2023-01-03 04:55:00,25962.469,25964.999,25947.519,25947.519,25817.1528888889,23.056351728502065,30.317469271130122,40.64272325792057
2023-01-03 05:00:00,25949.519,25962.999,25947.269,25952.269,25819.399218579245,22.533040890751888,47.49787083907663,42.09190729246307
2023-01-03 05:05:00,25954.269,25954.269,25942.419,25952.999,25821.504000000008,21.769966541412366,51.196332344503574,42.09190729246307
2023-01-03 05:10:00,25954.419,25957.519,25932.269,25937.419,25823.42302116403,22.01854035988291,12.777047311555123,42.09190729246307
2023-01-03 05:15:00,25932.369,25934.469,25917.269,25932.999,25825.06087500001,21.88507319131995,8.961382263361187,41.97307534918956
2023-01-03 05:20:00,25927.999,25932.999,25919.519,25929.369,25826.633717948727,21.28471082051135,6.012264246170204,41.97307534918956
2023-01-03 05:25:00,25932.269,25932.319,25912.269,25922.519,25828.084252525263,21.196517190474772,2.6816197261489805,41.97307534918956
2023-01-03 05:30:00,25919.519,25927.369,25917.269,25922.999,25829.494124378118,20.40390881972647,9.692831870344193,41.63848864014224
2023-01-03 05:35:00,25927.369,25927.369,25907.519,25907.519,25830.738852941184,20.364343904031617,1.7165047385177274,41.63848864014224
2023-01-03 05:40:00,25912.369,25917.519,25902.269,25914.369,25831.907647343003,19.999033625172217,43.13238536742526,41.63848864014224
2023-01-03 05:45:00,25917.369,25932.469,25912.419,25932.469,25833.248761904768,20.002674080517007,82.37711421834727,40.87730596935553
2023-01-03 05:50:00,25927.999,25932.999,25922.269,25927.269,25834.57641784038,19.340340217622906,58.987190819310754,40.87730596935553
2023-01-03 05:55:00,25929.469,25942.469,25927.269,25942.469,25836.004555555563,19.044601630649893,84.5813045590202,40.87730596935553
2023-01-03 06:00:00,25939.269,25942.999,25927.319,25932.519,25837.350780821926,18.80427294274635,46.549588941413084,40.41459788376643
2023-01-03 06:05:00,25934.469,25937.419,25927.999,25934.469,25838.64733333334,18.13396773255032,54.558378527434364,40.41459788376643
2023-01-03 06:10:00,25932.269,25932.269,25909.269,25912.999,25839.707755555562,18.638684323082494,12.689579720963152,40.41459788376643
2023-01-03 06:15:00,25907.519,25912.419,25892.369,25897.999,25840.513298245623,18.7809211571481,6.123413705859107,38.722514772002555
2023-01-03 06:20:00,25902.519,25907.999,25897.269,25902.419,25841.31912987014,18.205855360208922,28.06104570845008,38.722514772002555
2023-01-03 06:25:00,25907.519,25912.999,25904.519,25907.419,25842.178017094026,17.66115140590815,52.941123860372905,38.722514772002555
2023-01-03 06:30:00,25909.419,25912.469,25902.269,25907.469,25843.003641350217,17.128212019771908,53.26439392816272,37.15129473965038
2023-01-03 06:35:00,25904.419,25912.999,25902.369,25912.999,25843.834291666673,16.664054018359703,81.45065949075997,37.15129473965038
2023-01-03 06:40:00,25909.999,25912.999,25907.369,25907.369,25844.64183950618,15.875907302762656,36.55753540022814,37.15129473965038
2023-01-03 06:45:00,25912.419,25912.999,25837.369,25857.469,25844.942292682936,20.144056781136825,3.3942950323963146,35.25419536347795
2023-01-03 06:50:00,25854.999,25862.999,25847.269,25857.419,25845.074261044185,19.828767011055593,3.3881356057437415,35.25419536347795
2023-01-03 06:55:00,25854.999,25862.999,25847.519,25859.269,25845.21142063493,19.518140795980162,14.825640561419348,35.25419536347795
2023-01-03 07:00:00,25857.319,25867.999,25852.319,25857.269,25845.375941176477,19.243987881981603,11.804135748645635,33.49260308560354
2023-01-03 07:05:00,25854.519,25862.999,25832.419,25857.319,25845.440317829463,20.053703033268498,12.693797513682753,33.49260308560354
2023-01-03 07:10:00,25852.469,25859.269,25837.269,25837.519,25845.43164367817,20.192724245177892,1.412120548137338,33.49260308560354
2023-01-03 07:15:00,25834.519,25847.999,25832.269,25842.319,25845.379719696975,19.873958227665156,31.1013463156946,32.263279453943795
2023-01-03 07:20:00,25847.419,25852.519,25842.269,25844.269,25845.390647940083,19.18653263997479,44.64549438182775,32.263279453943795
2023-01-03 07:25:00,25842.469,25862.319,25842.269,25862.269,25845.5042962963,19.248208879976538,88.04227274241913,32.263279453943795
2023-01-03 07:30:00,25857.369,25862.999,25849.319,25862.999,25845.64643589744,18.850479674263948,88.7571961212236,31.12176465311689
2023-01-03 07:35:00,25867.999,25872.319,25857.269,25862.999,25845.848057971016,18.5790168403879,88.7571961212236,31.12176465311689
2023-01-03 07:40:00,25859.319,25867.419,25847.519,25862.369,25845.990577060933,18.673372780360296,73.57255956008423,31.12176465311689
2023-01-03 07:45:00,25859.269,25867.999,25859.269,25862.369,25846.173787234045,17.96313186747739,73.57255956008423,29.69757556378608
2023-01-03 07:50:00,25859.519,25862.999,25852.269,25859.419,25846.300684210524,17.446479591228975,17.49908013922453,29.69757556378608
